17-AAG AEW541 AZD0530 AZD6244 Erlotinib Irinotecan L-685458 LBW242 Lapatinib Nilotinib Nutlin-3 PD-0325901 PD-0332991 PF2341066 PHA-665752 PLX4720 Paclitaxel Panobinostat RAF265 Sorafenib TAE684 TKI258 Topotecan ZD-6474
NCIH1299_LUNG 3.5108 1.2383 1.4866 3.1961 0.7121 NA 0.4863 1.249 0.2706 NA 1.0899 2.7295 NA 0.9098 0.7558 0.5758 5.549 3.6257 2.203 1.5557 1.9109 1.2805 3.8423 0.7984
IGR37_SKIN 3.0876 1.4834 0.6652 3.6362 0.3618 3.7394 0.2019 0.4557 0.4278 0.8076 0.5574 4.6732 0.9764 1.0685 0.03001 2.2723 6.1199 4.655 2.0066 0.7135 1.4119 0.6398 2.9305 0.5995
PANC0403_PANCREAS 2.6612 0.7045 0.7926 1.4602 0.494 1.7691 0.1511 0.3004 0.6503 0.6639 0.3671 2.8214 0.2123 0.5411 0.09142 0.09336 3.9711 3.5197 0.688 0.4002 1.5515 0.4505 1.7677 0.3849
TYKNU_OVARY 3.7232 1.0867 0.8178 0.6276 0.2076 3.7963 0.1057 1.2606 0.5639 0.1484 0 1.6836 0.4732 0.7577 0.08034 0.1161 5.115 4.6765 1.3677 0.5322 1.0603 0.6974 3.4346 1.2291
EFM19_BREAST 3.5096 0.7541 1.2611 0.0802 0.09867 2.2524 0.2789 2.7017 0.7549 0.3452 0.3282 0.09919 0.6936 0.6233 0.7263 0 5.55 4.9716 1.4292 0.3749 1.2299 0.7954 1.9984 0.9214
MELHO_SKIN 2.0796 1.3099 0.9185 3.391 0.49 3.5391 0.1198 0.4954 0.6978 0.654 0.2398 5.1399 0.2735 0.868 0.01668 2.9418 4.24 5.0633 2.1681 0.7755 1.4747 0.9921 2.6133 1.7294
G361_SKIN 3.2302 1.7872 0.7462 2.7378 0.996 3.2033 0.4818 0.5463 1.2718 0.5674 0.6556 4.4245 0.6448 0.7552 0.6601 1.8445 6.0134 5.3635 2.7873 0.8658 1.2092 1.6598 2.9272 1.0411
NCIH647_LUNG 3.1829 0.3716 1.452 0.3915 0.2912 NA 0.4379 0.6297 0.2396 0.5991 0.3702 0.8152 0.5271 0 0.5762 0.3382 4.6377 2.9629 0.23 0.8969 0.1524 0.1195 1.1787 1.1171
GMS10_CENTRAL_NERVOUS_SYSTEM 3.1344 0.5312 0.7487 0.2219 0.1201 1.5352 0 0.6135 0.004152 0 0.08879 0.624 0.1815 0.2727 0.4683 0.06015 5.0009 3.4086 1.283 0.1598 0.6572 0.4925 1.297 0.9848
HCC44_LUNG 4.7402 0.9276 0.4591 0.7028 0.1511 NA 0.4521 2.3407 0.1527 NA 0.09813 1.5458 NA 0.2043 1.1856 0.5668 5.8639 4.1851 1.5482 0.5025 1.0325 0.3747 2.2173 0.9367
KYSE70_OESOPHAGUS 4.2296 2.1382 1.6009 1.3876 1.3994 NA NA 0.5985 1.3543 NA 0.7199 2.7093 NA 0.6366 0.7026 0.7607 5.5901 4.5453 NA 0.6312 1.3801 1.5309 3.081 1.4575
GAMG_CENTRAL_NERVOUS_SYSTEM 3.711 0.4895 0.2102 0.2266 0.1358 NA 0 0.5262 0 NA 0.332 0.3018 NA 0.07498 0.5998 0.154 5.015 3.8201 NA 0.1068 0.1636 0.445 1.2313 0.4886
NCIH522_LUNG 3.5106 0.6383 0.8378 0.3785 0.4055 2.9178 0.08763 0.5374 0.7621 0.4237 0.4385 0.8364 0.1026 0.5612 0.1305 0 5.4331 4.0878 1.1235 0.5832 1.397 0.6619 1.9146 0.9695
EN_ENDOMETRIUM 2.6637 0.6604 0.6256 0.2629 0 0.9262 0.02041 0 0.4058 0.1392 0.146 0.557 0.03136 0.4521 0.08131 0 4.0051 3.5731 0.5043 0.3369 0.698 0.4259 0.741 0.4015
PK59_PANCREAS 3.0683 0.8059 0.8084 1.0042 0.2714 2.1066 0.2201 0.1425 0.5183 0.3275 0 2.4655 0.4778 0.494 0 0.01353 4.3007 3.8702 1.4062 0.3679 1.2743 0.6624 2.2588 0.4785
COLO741_SKIN 3.2321 1.4813 0.4347 2.4876 0.9611 NA 0.8445 2.4895 0.3423 NA 0.8776 2.757 NA 0.5903 0.7811 1.3751 5.4766 3.9221 NA 0.2976 1.3744 1.2564 3.1862 0.7398
HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 3.7408 1.389 0.5385 2.7557 0.8709 NA NA 0.4014 0.6625 NA 0.3302 4.6897 NA 0.8361 0.6999 0.7874 6.7594 4.3193 NA 0.9484 1.4183 1.2701 5.7676 0.3995
NCIH661_LUNG 1.1851 1.0875 0.5857 0.1862 0.09786 2.6998 0.1818 0.5897 0.3394 0.5492 0.07728 0.2089 0.08016 0.7048 0.6622 0.3142 2.5108 5.3017 0.6757 0.1372 0.8723 0.2489 0.9602 1.225
LS411N_LARGE_INTESTINE 4.496 1.3972 0.2772 4.2582 0.3804 NA 0.8172 1.1581 0.04328 NA 0.0771 4.9922 NA 0.3309 0.8759 2.1759 5.834 4.8202 1.4663 0.1615 1.4321 0.6282 3.1476 0.6636
HCC78_LUNG 1.8194 0.3367 0.3899 0.1545 0.02019 NA 0 0.3811 0.07474 0.01119 0.0682 0.3694 0.1592 0.5792 0.7086 0.2376 3.5376 3.9946 0.1753 0 0.8875 0.2193 4.1192 0.5071
YKG1_CENTRAL_NERVOUS_SYSTEM 2.8308 0.5376 1.6499 0.8278 0.07841 1.8817 0.5167 0.5146 0 0.4998 0.1102 0.8524 0.672 0.5306 0.0179 0.241 5.5701 4.1169 NA 0.2007 0.7847 0.6228 1.3881 0.4073
ESS1_ENDOMETRIUM 3.4977 1.5524 1.8504 0.5129 0.6877 NA NA 4.4022 1.2909 NA 0.7388 0.9489 NA 1.3171 2.2772 0.8378 6.5069 4.7936 NA 0.4498 1.9378 1.7331 6.209 1.3919
TE11_OESOPHAGUS 3.3987 1.7103 1.9288 0.3205 2.0088 NA NA 0.7138 2.2305 NA 1.2078 1.4826 NA 0.9517 0.7925 NA 7.3115 3.5976 NA 0.5301 1.9404 1.6287 4.7553 NA
HEC1A_ENDOMETRIUM 2.8197 0.8549 1.6748 1.0471 0.1217 NA 0.02586 0.7562 0.1152 0.7392 0.3542 1.652 0.4081 0.2774 0 0.2945 4.9047 4.8108 1.6598 0.6987 0.614 0.8994 2.287 0.4923
TE1_OESOPHAGUS 3.9523 0.8829 1.0441 1.114 0.8417 NA 0.08494 0.533 0.7076 NA 0.4281 1.0105 NA 0.4085 0.6178 0.3786 4.1517 5.0321 NA 0.2454 1.3627 0.7009 2.8467 0.756
JHUEM2_ENDOMETRIUM 4.8857 0.4333 0.5545 0.1476 0.1292 NA 0.5642 0.5591 0.1097 NA 0.9028 0.8896 NA 1.1936 0.4778 0.5751 6.1947 5.1923 NA 0.4216 1.377 1.4968 4.3234 1.6028
TE5_OESOPHAGUS 3.0955 0.4191 0.5912 0.6396 0.23 NA 0 0.7896 0.486 NA 0.3958 0.753 NA 0.2186 0.3795 0.06209 5.4258 3.463 NA 0.2589 0.2672 0.4487 3.692 0.6572
NCIH1703_LUNG 4.6215 0.7496 1.9617 0.6057 0.5767 NA 0.689 1.6718 0.3413 NA 1.1218 0.92 NA 0.815 1.254 0.9735 6.0885 3.2273 NA 1.7395 1.7164 1.7113 3.4943 2.1679
QGP1_PANCREAS 3.341 1.5339 0.6628 3.5502 0.7446 NA 0.243 0.7079 0.4053 NA 0.3865 3.7813 NA 0.3333 0.9048 0.6036 5.2985 4.2756 NA 0.5314 1.2875 1.0263 1.2569 0.2302
DETROIT562_UPPER_AERODIGESTIVE_TRACT 2.8606 0.3942 1.1993 1.0097 0.8498 NA 0.1327 0.8633 0.432 0.5156 0.6081 1.2996 0.9828 0.1087 0.8825 0.1153 5.6996 3.7515 0.6876 0.08576 0.5406 0.2191 1.4964 1.5655
BT474_BREAST 3.7846 0.7015 0.8074 0.1287 0.3156 NA 0.7397 0.1639 3.3811 0.5231 0.2468 0.5865 1.0329 0.2296 0.4139 0.1735 3.3674 5.1333 0.6517 0.8083 0.3988 0.3351 0.1767 0.5179
ACHN_KIDNEY 2.0636 0.6207 1.2189 0.6881 1.2474 NA 0 0.4928 0.8437 NA 0.4761 1.2671 NA 0.4836 0.1702 0.3817 3.9915 4.5464 2.388 0.6473 0.9626 0.95 3.7264 1.8791
NCIH1581_LUNG 2.4837 0.3412 0.5944 1.2459 0.04829 NA 0.2333 0.7831 0.3271 0.7787 0.1988 1.7867 0.7369 0.6256 0.5504 0.01726 5.8733 4.8627 0.665 0.106 0.6507 0.9622 2.8858 0.8635
SKMEL30_SKIN 1.6956 0.4842 0 3.251 0 1.6605 0 0.01642 0.027 0.2941 0.04694 4.6005 0.01621 0.1049 0.23 0.0465 3.9556 3.2337 1.63 0.4895 0.267 0.1669 1.2816 0.1765
C32_SKIN 6.5863 0.8161 0 1.8523 0.286 2.0384 0.04038 0.4908 0 0.1393 0 3.2117 0.07469 0.261 0.1914 1.2483 3.1892 2.4495 1.1826 0.3158 0.6679 0.3908 2.2885 0.4507
PANC0327_PANCREAS 4.3483 0.6478 0.9077 1.2338 0.4879 3.4648 0.5476 2.2368 0.7534 0.01959 0.07107 2.1915 0.03994 0.8512 0.2903 0.2345 5.8073 3.6862 2.1313 0.1145 0.9404 0.2957 3.1664 0.7822
ES2_OVARY 3.0835 0.366 0.05565 1.9236 0.09704 NA 0.04943 1.155 0.05121 NA 0.1307 3.051 0.2855 0.3971 0.2601 0.8935 5.3368 4.7008 1.8373 0.38 0.1766 0.419 4.441 0.4975
G402_SOFT_TISSUE 4.4662 0.4365 1.4516 0.06311 0 NA 0.008315 0.3804 0.2117 NA 1.068 0.689 NA 0.6586 0.8114 0.1487 5.9752 3.8386 1.6359 1.1492 0.6709 1.3881 4.218 0.485
SW48_LARGE_INTESTINE 5.8824 2.1955 1.6492 4.7855 2.558 4.33 0.9012 0.4682 2.7696 0.3872 1.0407 5.322 1.7552 0.8926 0.131 0 6.6415 4.6508 1.1192 0.5355 3.1949 1.5286 4.0017 2.9371
SW403_LARGE_INTESTINE 4.3652 1.9928 1.1138 2.9688 1.0355 2.8655 0.2892 1.6262 1.8469 0.2939 0.2976 4.8714 1.0767 0.9122 0.2497 0.1555 5.8697 5.1316 0.7067 0.003239 2.2255 0.6138 4.7006 1.5593
NCIH747_LARGE_INTESTINE 4.1782 1.5524 1.2293 3.9755 0.8585 NA 0.1817 1.2307 0.5944 0.6162 0.1082 4.5513 0.797 0.7988 0.4446 0.1485 4.5944 4.788 0.9015 0.5534 1.389 0.1588 2.1884 1.3901
RT4_URINARY_TRACT 4.2034 1.0211 3.5666 1.6026 1.6683 3.1885 0.4634 1.7115 1.889 0.7336 1.0192 2.4741 1.7181 0.8884 1.0759 0.3804 6.3166 4.7139 1.4049 0.9329 2.2436 2.1163 2.83 2.5269
SW1417_LARGE_INTESTINE 4.141 1.4761 2.5102 2.4436 0.3159 NA 0.349 0.4361 0.9209 NA 0.3706 3.5422 0.4307 0.5491 0.7279 1.6968 5.1654 4.3976 1.7389 0.8551 1.3905 0.653 3.6728 1.4917
MDAMB415_BREAST 3.8425 0.5793 0.699 0.3868 0.03477 NA 0.04379 0.6508 0.4949 0.9927 0.3684 0.3595 0.9099 0.652 0 0.05878 2.8461 4.546 1.4923 0.8087 0.2655 1.1061 1.0161 0.09347
CORL23_LUNG 2.3346 0.7416 0.2272 0.02408 0.03604 2.9901 0 0.2085 0.1227 0.1142 0.08275 0.5205 0 0.3596 0.02301 0 5.2187 4.0549 1.2001 0.8032 0.6334 0.3707 3.0968 0.3283
MORCPR_LUNG 3.875 0.4603 0.3816 0.1858 0.2041 NA 0.029 0.7722 0.3634 NA 0.1315 0.5833 NA 0.1384 1.1972 0 6.6116 5.0863 NA 0.1042 0.5558 0.8975 2.2823 0.7898
HARA_LUNG 3.2458 0.4855 0.6418 0.2773 0.8434 NA 0 0.3543 0.7284 NA 0.3702 1.1893 NA 0.1488 0.1362 0.1449 6.1217 3.5884 1.0923 0.3296 1.0078 0.5869 3.1222 1.1713
SKOV3_OVARY 2.3103 0.5344 1.1181 0.334 0.6147 2.4994 0 2.6683 0.8272 0.1564 0.5764 0.519 0.06216 0.02451 0.1467 0.3349 5.0501 3.3944 1.9759 0.4214 0.7187 0.7958 2.0795 0.9297
HPAFII_PANCREAS 3.803 1.3463 1.8783 2.0653 0.965 NA 1.3888 1.1707 1.3411 NA 1.7918 3.016 NA 1.0399 1.7663 0.2772 4.9936 3.7254 0.9446 0.4414 1.1629 0.8712 3.3008 1.4523
MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 3.4533 0.2977 0.09845 0 0.0005163 NA 0.1277 0.2117 0.0505 0 0.2049 0.1658 0.7225 0.1444 0.3541 0.04864 6.476 3.7751 0.0784 0.5503 0.1041 0.096 4.4146 0.9237
NCIH1568_LUNG 1.527 1.3221 1.5767 1.2459 1.6905 NA 0.6435 1.4092 0.918 0.6011 0.7387 1.5472 1.0166 1.035 0.2685 0.9667 5.6099 4.3663 2.3001 0.7917 1.6053 0.7681 3.7898 0.8584
A673_BONE 3.6758 1.599 0.9435 1.3769 0.1029 NA 0.2549 1.0647 0.005817 NA 0.5932 0.6163 0.2491 1.6086 0.1048 0.7895 7.0239 4.71 1.9556 0.3025 1.734 0.7322 5.4861 1.4081
AU565_BREAST 4.2668 0.7651 0.2328 0.09979 0.491 NA 0.8391 0.7937 3.5677 0.873 0.1964 0.04551 0.9007 0.7979 0.3374 0.6038 6.6977 5.0888 1.5268 0.6273 0.1526 0.7107 3.8426 1.1876
NCIH1563_LUNG 3.2288 1.0647 0.4409 0.5965 0.1776 NA 0.0838 0.36 0.3184 0.286 0.8828 0.1998 0.4013 0.6033 0.1891 0.03817 1.8457 2.8012 0.9544 0.1783 1.2603 0.98 0.08307 0.7126
NCIH358_LUNG 2.9418 1.0482 0.7506 2.4557 1.6179 NA 0.6911 0.7728 1.4357 0.4732 0.3662 3.6668 0.5514 0.8719 0.1218 0.7734 5.6597 4.264 1.9399 0.4633 1.5223 1.3765 2.0796 1.6435
NIHOVCAR3_OVARY 2.8123 0.9727 2.2222 1.5972 1.1932 3.6816 0.4514 0.2826 1.0323 0.07783 0.7236 1.3723 0.268 0.5743 0.2992 0.3427 5.2836 4.6118 2.0829 1.3616 2.0012 0.8821 2.0783 1.6073
NCIH1650_LUNG 4.5681 0.4436 1.9891 0.3713 1.3557 NA 0.6198 0.366 1.0601 0.4834 0.5891 0.0898 0.1289 0.4561 0.03316 0.3035 4.3317 3.4336 1.2499 0.5556 0.8811 0.7558 1.4616 2.4608
NCIH1793_LUNG 1.6359 0.4367 0.8634 1.1445 0.4024 NA 0 0.4629 0.6214 0.1586 0.6553 1.1635 0.7979 0.04633 0.08983 0.02881 3.6008 NA 1.0381 0.04823 0.3799 0.6117 1.5681 1.9546
KNS62_LUNG 3.6717 0.5156 0.2138 1.1768 0.1777 NA 0.3271 0.9201 0.2334 NA 0.03943 1.9951 NA 0.208 0.8163 0.2596 4.9409 4.2741 0.5655 0.0401 0.127 0.3008 2.5993 1.0744
HS578T_BREAST 3.8639 0.2538 0.4801 0.2979 0.05836 NA 0 0.5308 0.2025 0.2575 0.4288 1.2618 0.4447 0.4021 0 0.3128 6.8292 4.1861 1.2571 0.05614 0.7075 1.1832 1.2176 0.4577
BT20_BREAST 1.0525 0.5273 1.181 0.01832 1.3084 2.4196 0.2981 0.4948 0.6681 0.3956 0.2088 0.4673 0.1474 0.5166 0.4686 0 4.959 4.53 0.9371 0.4714 0.7985 0.1317 2.1888 0.8072
HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 2.1617 0.975 0.8571 0.8535 0.4083 NA 1.0586 0.6424 0.7705 0.8973 1.9892 0.7106 1.5875 0.8985 0.3423 0.1086 5.0317 6.1876 1.0966 1.3007 1.496 0.3257 3.7783 1.054
FADU_UPPER_AERODIGESTIVE_TRACT 5.1603 0.5665 1.9008 2.4745 1.5452 NA 0.3693 0.5883 1.9562 0.7939 0.141 2.2958 0.4639 0.4794 0.2629 0.2541 4.7772 4.0829 1.672 0.05019 0.9511 1.2244 3.2542 1.9234
SJRH30_SOFT_TISSUE 3.367 1.8406 0.1909 0.5556 0.1233 NA 0.5019 0.1852 0.3895 0.4831 0.2678 0.1828 0.114 1.0813 0.2238 0.1933 5.3401 5.2359 1.2862 0.5737 2.2681 0.5467 3.5555 1.7773
MDAMB436_BREAST 2.2556 1.1129 0.6943 0.8398 0.4275 NA 0.06644 0.5103 0.2457 0.2853 0.9866 0.8916 0.4081 0.8252 0.2029 0.07696 4.6231 3.1806 1.4521 0.2087 1.8553 0.8019 2.5255 0.4278
CAL27_UPPER_AERODIGESTIVE_TRACT 4.0906 0.9409 1.5346 2.3452 2.316 NA 0 0.3061 1.8794 NA 0 2.6201 0 0.5558 0.7764 0 7.1184 4.4571 1.0867 0.3294 0.5994 0.5781 3.8619 3.4375
SW1271_LUNG 2.6201 1.2973 1.3076 1.669 0.08464 3.0324 0.07391 1.2443 0.1266 0.6314 0.7121 2.2362 0.2713 0.7189 0.8502 0.5061 4.1891 3.5354 1.3744 0.3072 0.818 0.1423 3.209 0.9662
NCIH1792_LUNG 4.2291 1.1488 0.3243 0.7937 0.2512 NA 0 0.269 0.3039 0.1523 0.679 2.7425 0.4562 0.7983 0 0.4574 5.8456 3.9704 1.9411 0.3336 1.6733 1.1431 1.7974 0.8889
SKBR3_BREAST 3.3439 0.7471 0.4847 0 0.6481 4.3951 0.04103 0.2658 2.9047 0.3601 0.0506 0.04932 0 0 0.2668 0.19 5.046 5.2138 1.4072 0.7789 0.0109 0.396 4.2169 0.6819
NCIN87_STOMACH 6.109 0.8738 2.0389 1.7723 0.9619 NA 0.6826 0.6739 4.381 1.2436 0.7817 2.0757 0.7402 0.5961 0.4056 0.6974 5.695 4.5723 1.8996 0.4951 1.8145 1.0356 3.5494 1.4258
U2OS_BONE 4.6678 1.5148 1.3457 1.2003 0.4888 2.6425 1.163 0.3309 0.7341 0.6846 1.0122 1.683 0.3956 1.0034 0.2498 0.6723 5.1548 5.1185 1.249 0.5541 1.324 0.8411 2.6347 2.1597
H4_CENTRAL_NERVOUS_SYSTEM 4.1075 0.4519 0.6725 0.2843 0.2662 NA 0.06108 0.2157 0.05188 0.5618 1.2492 0.01881 0.7428 1.5929 0.5117 0.6343 5.2411 4.3444 1.4272 0.1642 1.8596 1.4453 2.6745 1.1921
OCUM1_STOMACH 4.7362 0.5085 0.3956 4.2032 0.01577 3.2961 0 0.501 0.3383 0.3957 0.5333 5.29 0.6016 0.9729 0.2974 0.1104 5.3406 5.165 1.3903 0.1405 1.467 0.6555 3.6049 0.4953
SCC9_UPPER_AERODIGESTIVE_TRACT 4.7346 1.2564 1.3741 1.6772 2.1038 NA 0.2541 1.1435 1.1401 NA 0.1992 2.6857 NA 0.4683 1.1941 0.2032 5.2099 5.3576 1.5306 0.2901 0.4782 0.7652 2.3581 2.7298
HCC1395_BREAST 2.6091 0.7086 1.8946 0.6753 0.5515 NA 0.4006 1.2891 0.3471 NA 0.1969 0.56 NA 0.2731 0.4523 0.3832 5.4493 2.8148 NA 0.3345 0.4094 0.7068 2.5762 1.5061
TE9_OESOPHAGUS 4.2666 1.0772 1.9496 0.8854 0.9259 3.8206 0.7058 0.4993 1.265 0.6286 0.4344 0.9762 0.0816 0.3303 0.1003 0.4148 6.6468 4.0263 1.3055 0.6806 1.8908 0.8313 4.0447 1.2997
KNS42_CENTRAL_NERVOUS_SYSTEM 2.789 1.268 0.6949 0.9356 0.0282 2.4491 0.2855 1.0396 0.216 0.3225 0.3687 0.5834 0.5809 0.4066 0.6865 0.5032 5.2136 3.6298 1.378 0.3099 1.4364 0.7234 2.0429 1.3425
KYSE520_OESOPHAGUS 4.248 0.8652 1.1904 0.6335 1.2624 1.2647 0 0.672 1.037 0.6587 0.2568 1.9066 0 0.2385 0.01816 0.2625 5.3639 3.219 1.0794 0.4213 1.0372 0.3085 1.2417 1.5278
IALM_LUNG 1.1265 1.0362 0.3366 0.1423 0.3108 2.821 0.08142 0.5557 0.8124 0.5739 0.3516 0.9959 0.2366 0.5516 0.6265 0.3496 1.3967 3.8931 2.2068 0.8639 0.4315 0.5726 2.475 0.8879
EB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 1.8256 0.1471 0.2212 0.003172 0.2757 NA 0 0.591 0.4862 0.1786 0.1515 0.04767 0.227 0.2978 0.2933 0.1945 5.2538 3.2919 0.4712 0.06314 0.1913 0.4745 3.6914 0.8445
SNU398_LIVER 2.5308 0.5915 0.6213 1.4041 0.01824 NA 1.342 1.5732 0.2801 NA 0.8702 2.4054 NA 0.9383 0.5687 0.7115 6.988 4.3922 1.397 0.7151 1.9352 1.0815 3.618 0.7031
SNU423_LIVER 2.0606 0.1276 0.04521 0.3714 0 NA 0.5282 0.7057 0.2067 0.08987 0.1352 0.3718 0.5886 0.4193 0.8206 0.1018 4.9445 3.1265 0.6721 0.06403 0.2347 0.3549 0.8919 0.2162
HCC1187_BREAST 1.2846 0.2086 0.3754 0.4582 0.1981 NA 2.2908 0.2256 0 0.1172 0.4677 0.5391 0.3664 0.05411 0.4499 0.1792 5.8226 3.683 0.5931 0.2117 0.4494 0.3913 1.8545 0.8999
SNU387_LIVER 3.05 1.0149 1.0306 0.4998 0.8118 NA 0.4401 0.8547 0.8222 NA 0.9645 0.8845 NA 0.8758 1.5203 1.2764 4.7368 3.7306 NA 0.7339 0.8824 0.3967 1.0026 0.6723
HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 4.4626 0.472 0.7877 1.5451 0.6185 NA 2.0354 0.9452 0.5864 0.05258 0.9368 0.9237 0.3291 1.4918 0.3471 0 6.6008 6.1087 1.7105 1.8156 2.4755 0.2781 4.0798 0.7499
MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 4.5197 0.7745 0.3153 0.3342 0.007088 NA 0.1173 0.2184 0.2492 0.4704 0.5714 0 1.0644 0.9347 0.3775 0.06624 6.9625 5.7256 0.8468 0 0.8332 0.2399 3.4198 1.8715
JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 2.0988 0.2846 0.05758 0.1883 0.7337 NA 0.5253 0.1574 0.143 0.6152 0.3451 0.2912 0.6972 0 0.04249 0 6.1963 5.2913 0.5594 0.2965 0 0.2027 3.6682 0.4424
C2BBE1_LARGE_INTESTINE 2.2767 1.3449 2.0615 1.6091 1.128 NA 0.00776 0.5307 1.4312 0.7346 0.4036 2.6013 0.7911 0.7279 0 0.4087 3.4819 4.6721 1.1062 0.2239 1.4705 0.527 1.3702 1.9499
SKES1_BONE 2.7715 1.9883 1.0395 0.7745 0.8541 5.3432 0.9015 0.3386 0.3363 0.6998 0.21 0 0.5761 1.0904 0.1814 1.0572 6.7784 5.2424 2.7301 0.5736 2.3471 1.6445 5.0616 1.3934
BXPC3_PANCREAS 3.4843 0.7268 1.5541 1.9699 0.7307 NA 0.3731 2.374 1.2981 NA 0.8451 2.8579 NA 0.5536 0.8834 0.8857 5.4667 3.9718 NA 0.3544 1.6433 1.1114 2.8842 1.2382
NCIH1355_LUNG 2.7409 0.9139 0.9871 2.526 1.1241 NA 0.3069 0.2866 1.4545 0.2995 1.3545 3.2706 1.143 1.1761 0.134 0.5632 4.4405 3.208 2.1873 0.08526 2.1361 0.8879 0.9215 0.7915
SNU475_LIVER 3.9646 1.4655 0.6638 0.9279 0.6863 NA 0.4492 2.3149 0.8682 NA 0.8932 0.9657 NA 0.7115 1.0051 0.6943 5 3.7899 1.972 1.0406 0.914 1.0832 2.5168 0.6495
HEC251_ENDOMETRIUM 2.5866 0.8731 1.5751 1.3455 0.7614 1.7593 0.7817 0.2743 0.7347 0.2585 0 1.1822 0 0.03693 0.1203 0.1457 5.4401 3.7871 2.0805 0.5294 0.8138 1.4313 2.833 1.4384
GCIY_STOMACH 2.1792 0.7879 1.2041 0.06857 0.9732 NA 0 0.7082 0.8684 0.8356 0.4031 1.2638 0.2167 0.4585 0.04114 0 4.0593 4.2403 0.5924 0.2187 1.487 0.3855 1.9017 1.6699
SH10TC_STOMACH 2.8494 0.4969 0.4559 0.04748 0.1529 1.4957 0.02568 0.8402 0.2517 0.4446 0.129 0.2473 0 0.2376 0.0805 0.1525 5.5243 3.9183 1.0873 0.6857 0.6445 0.3967 1.5113 0.07919
KMS26_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 3.7881 2.0005 0.1371 0.708 1.1015 4.3181 0.816 0.3087 0.9961 0.8691 1.0225 1.5045 2.0179 1.5335 0.3177 0.02725 7.1779 6.6543 0.6449 0.8896 2.8381 1.8328 4.5726 1.2516
KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 2.6941 0.8602 0.4784 5.0531 0.6706 4.3871 1.3271 1.1233 0.06963 0.764 0.4614 5.0744 1.6632 1.7782 1.2709 0.6209 6.1507 5.8283 3.1142 1.6474 1.7366 2.1507 5.1368 1.5751
KNS60_CENTRAL_NERVOUS_SYSTEM 4.1338 0.8646 0 1.1826 0.161 2.9539 0.4312 1.8433 0 0.2903 0.4705 1.7332 1.0592 0.3137 0.9126 0.01322 6.8034 4.7173 1.4383 0.4594 0.8137 0.8267 3.3792 0.544
LU99_LUNG 5.2031 1.5767 0.5512 2.0438 0.8666 4.895 0.5105 0.7001 0.9483 0.5356 0.5896 2.6236 1.362 1.2301 0.1787 0.6577 6.1904 4.3637 2.4714 1.1541 1.7623 1.7953 4.6107 1.521
KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 3.5192 2.91 0.5543 0.7945 0.2969 4.8773 2.1505 0.4994 1.361 1.4553 0.3091 0.3285 1.8031 1.6563 0.7987 1.258 6.6117 5.8871 1.1614 1.2637 3.5637 1.2422 5.0621 0.6458
MKN74_STOMACH 3.2581 1.2515 0.2625 0.00429 0.3761 1.4986 0.148 0.4106 0.6075 0.4273 0.04665 0.899 0.302 0 0.9258 0.05401 3.5975 4.287 1.438 0.1997 0.41 0.8439 2.3142 0.573
KP3_PANCREAS 3.0933 0.4973 1.2097 0.1945 0.2328 1.5558 0 0.3274 0.09769 0.4622 0.8851 1.7013 0.341 0.4304 0.008632 0.5426 4.864 3.5037 1.4921 0.8425 1.3057 0.4566 2.197 0.4319
NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 4.4584 1.2927 4.2576 3.0029 1.5548 4.4747 1.5834 1.8245 1.6375 5.944 1.5495 3.9475 0.8892 2.9461 1.8126 1.7843 6.8572 5.185 2.5185 2.1583 2.6798 2.1103 4.8071 3.1671
KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 3.4416 3.717 0.4197 2.674 1.043 4.2888 1.7798 0.3238 1.1746 1.8774 0.7887 3.0813 1.9908 1.9573 1.1948 0.2295 6.2541 5.8292 1.0632 0.9919 4.532 0.5264 4.8473 0.8516
HSC2_UPPER_AERODIGESTIVE_TRACT 3.1995 0.1172 0.7791 0.0567 0.6125 3.5079 0.1213 0.2136 0.5269 0.2326 0.3311 0.2316 0 0.03532 0.2599 0.2626 4.6615 3.2598 0.6273 1.0356 0.1918 0.5043 3.8791 1.682
KALS1_CENTRAL_NERVOUS_SYSTEM 3.853 0.4127 1.1537 1.2031 0.3822 2.2827 0.2999 0.7127 0.5346 0.2728 0.5073 2.4758 0.7226 0.7377 0.2795 0.615 6.0363 3.7029 2.2201 0.1169 1.3825 0.6178 2.841 1.3023
